service_id,date,exception_type
4,20180819,1
2,20180820,1
2,20180821,1
2,20180822,1
2,20180823,1
2,20180824,1
3,20180825,1
4,20180826,1
2,20180827,1
2,20180828,1
2,20180829,1
2,20180830,1
2,20180831,1
3,20180901,1
4,20180902,1
5,20180903,1
2,20180904,1
2,20180905,1
2,20180906,1
2,20180907,1
3,20180908,1
4,20180909,1
2,20180910,1
2,20180911,1
2,20180912,1
2,20180913,1
2,20180914,1
3,20180915,1
4,20180916,1
2,20180917,1
2,20180918,1
2,20180919,1
2,20180920,1
2,20180921,1
3,20180922,1
4,20180923,1
2,20180924,1
2,20180925,1
2,20180926,1
2,20180927,1
2,20180928,1
3,20180929,1
4,20180930,1
2,20181001,1
2,20181002,1
2,20181003,1
2,20181004,1
2,20181005,1
3,20181006,1
4,20181007,1
2,20181008,1
2,20181009,1
2,20181010,1
2,20181011,1
2,20181012,1
3,20181013,1
4,20181014,1
2,20181015,1
2,20181016,1
2,20181017,1
2,20181018,1
2,20181019,1
3,20181020,1
4,20181021,1
2,20181022,1
2,20181023,1
2,20181024,1
2,20181025,1
2,20181026,1
3,20181027,1
4,20181028,1
2,20181029,1
2,20181030,1
2,20181031,1
2,20181101,1
2,20181102,1
3,20181103,1
4,20181104,1
2,20181105,1
2,20181106,1
2,20181107,1
2,20181108,1
2,20181109,1
3,20181110,1
4,20181111,1
2,20181112,1
2,20181113,1
2,20181114,1
2,20181115,1
2,20181116,1
3,20181117,1
4,20181118,1
2,20181119,1
2,20181120,1
2,20181121,1
5,20181122,1
2,20181123,1
3,20181124,1
4,20181125,1
2,20181126,1
2,20181127,1
2,20181128,1
2,20181129,1
2,20181130,1
3,20181201,1
4,20181202,1
2,20181203,1
2,20181204,1
2,20181205,1
2,20181206,1
2,20181207,1
3,20181208,1
4,20181209,1
2,20181210,1
2,20181211,1
2,20181212,1
2,20181213,1
2,20181214,1
3,20181215,1
4,20181216,1
2,20181217,1
2,20181218,1
2,20181219,1
2,20181220,1
2,20181221,1
3,20181222,1
4,20181223,1
2,20181224,1
16,20181225,1
2,20181226,1
2,20181227,1
2,20181228,1
3,20181229,1
4,20181230,1
2,20181231,1
